intent,text,意图描述,是否新增
add_wechat,好的好的，那你的微信我怎么加,你的手机号/加微信,
add_wechat,可以，你加我微信,你的手机号/加微信,
add_wechat,好的，那你这个号码就是微信号码,你的手机号/加微信,
add_wechat,好的，我的手机号就是微信号,你的手机号/加微信,
add_wechat,那你加呗,你的手机号/加微信,
send_message,先给我发,发短信,
send_message,你先发过来，我看看吧,发短信,
send_message,发过来吧,发短信,
send_message,发过来呗,发短信,
send_message,哦，你发吧,发短信,
send_message,哦，你发过来,发短信,
send_message,你发过来吧,发短信,
send_message,你先发过来看看,发短信,
send_message,你给我发过来看看吧,发短信,
send_message,可以发过来给我看看吗,发短信,
send_message,你发过来吧，我自己会看的,发短信,
send_message,你等一下，你发过来，我先看一下,发短信,
send_message,我这会儿呃，你先发过来吧,发短信,
send_message,你给我发吧，发完我我再看看,发短信,
send_message,好，那你发过来吧,发短信,
send_message,给我发过来,发短信,
send_message,发链接过来,发短信,
send_message,短信接得到的,发短信,
send_message,短信能接收,发短信,
send_message,先发过来,发短信,
send_message,给我发一下,发短信,
send_message,给我直接发个短信,发短信,
ask_next,等你介绍,询问后续，询问详情,
refuse,我不买了,拒绝，否认,
need_consider,再看一下,犹豫，考虑,
need_consider,我想想,犹豫，考虑,
client_busy,我现在有点忙,正在忙,
client_busy,哦，好的，我现在在忙，好吧,正在忙,
client_busy,你要不我还问着要不那个晚点打过来,正在忙,
client_busy,在上课,正在忙,
client_busy,在高速上,正在忙,
client_busy,这会儿没时间,正在忙,
client_busy,现在很忙,正在忙,
client_busy,现在在忙,正在忙,
client_busy,有点忙,正在忙,
client_busy,太忙了,正在忙,
client_busy,这会忙，没时间,正在忙,
client_busy,正忙着,正在忙,
client_busy,现在有事,正在忙,
client_busy,真没时间,正在忙,
client_busy,我没时间,正在忙,
client_busy,我现在忙干活呢,正在忙,
client_busy,我没时间搞,正在忙,
client_busy,待会儿再说,正在忙,
client_busy,上课呢,正在忙,
client_busy,开会呢,正在忙,
client_busy,我现在在忙着,正在忙,
client_busy,这会忙呢,正在忙,
client_busy,不方便啊,正在忙,
client_busy,正在忙啊,正在忙,
client_busy,我这忙没得空,正在忙,
client_busy,没得空,正在忙,
client_busy,忙着了,正在忙,
client_busy,我现在忙呢,正在忙,
client_busy,我现在有事情,正在忙,
client_busy,我在忙着,正在忙,
client_busy,现在有点忙,正在忙,
ask_fee,哎，您说一元钱，我怎么付的,询问费用,
ask_fee,你们那个是不是又让掏什么钱,询问费用,
ask_fee,还需要掏什么钱,询问费用,
insurance_ask_fee,你这个保险一个月多少钱,保费报价,
ask_fee,就是说每个月只交一块多,询问费用,
insurance_ask_fee,你们保费写的是,保费报价,
insurance_ask_fee,我这边还想跟你了解一下保费情况,保费报价,
ask_fee,升级后多少钱一个月,询问费用,
ask_fee,升级后多少钱,询问费用,
ask_fee,不是扣1块,询问费用,
ask_fee,不是扣2块,询问费用,
ask_fee,扣几块,询问费用,
ask_fee,扣多少,询问费用,
ask_fee,是不是每个月都1块钱,询问费用,
ask_fee,一个月投多少,询问费用,
ask_fee,另外收费,询问费用,
ask_fee,加不加钱,询问费用,
insurance_ask_fee,升级以后保费多少,保费报价,
ask_fee,你这个费用变不变,询问费用,
insurance_ask_fee,保费要增加吗,保费报价,
insurance_ask_fee,保费加不加,保费报价,
ask_fee,是不是要加钱了,询问费用,
ask_fee,要加钱,询问费用,
ask_fee,交的费用就变多了,询问费用,
ask_fee,交的钱变不变,询问费用,
insurance_ask_fee,保费也得涨,保费报价,
ask_fee,费用也得涨,询问费用,
ask_fee,那不得多加钱,询问费用,
ask_fee,那不得多花钱,询问费用,
ask_fee,钱会不会变,询问费用,
ask_fee,钱变不变,询问费用,
ask_fee,每个月平均多少,询问费用,
insurance_ask_fee,每个月平保费几块钱,保费报价,
ask_fee,交多少,询问费用,
ask_fee,每月多少,询问费用,
ask_fee,次月多少,询问费用,
ask_fee,次月涨很多,询问费用,
ask_fee,次月要加很多,询问费用,
insurance_ask_fee,保费情况,保费报价,
ask_fee,每月支付多少,询问费用,
ask_fee,每个月多少,询问费用,
insurance_ask_fee,保费多些,保费报价,
ask_fee,每月付多少,询问费用,
insurance_policy_surrendered,退保了,已经退保,
insurance_policy_surrendered,买过了，已经退出了,已经退保,
insurance_policy_surrendered,我在网上退保了,已经退保,
insurance_cancel,申请退保,退保费,
insurance_cancel,我要退保,退保费,
insurance_cancel,怎么退保,退保费,
way_to_pay,怎么支付,支付方式,
way_to_pay,可以微信付款吗,支付方式,
way_to_pay,可以分期付款吗,支付方式,
way_to_pay,蚂蚁支付,支付方式,
way_to_pay,花呗付款,支付方式,
way_to_pay,按月付款,支付方式,
way_to_pay,按年付款,支付方式,
way_to_pay,可以分期,支付方式,
way_to_pay,分期付款,支付方式,
way_to_pay,一次性交清,支付方式,
way_to_pay,一次性付款,支付方式,
way_to_pay,先用后付,支付方式,
Official_phone,你们客服电话,官方电话,
Official_phone,服务电话,官方电话,
Official_phone,你们公司电话是多少,官方电话,
Official_phone,电话是多少,官方电话,
Official_phone,怎么联系你们,官方电话,
Official_phone,公司400电话是多少,官方电话,
Official_phone,我打你电话多少,官方电话,
Official_phone,怎么打给你们,官方电话,
Official_phone,后来怎么找你们,官方电话,
Official_phone,用什么联系你们,官方电话,
Official_account,你们公众号是什么,公众号,
Official_account,微信公众号有吗,公众号,
Official_account,有没有公众号,公众号,
Official_account,有没有微信公众号,公众号,
Official_account,能关注你们微信公众号吗,公众号,
Official_account,怎么关注你们微信公众号,公众号,
Official_account,微信公众号是啥,公众号,
Official_account,公众号发给我,公众号,
Official_account,公众号叫什么,公众号,
Official_account,什么公众号,公众号,
Official_account,什么微信公众号,公众号,
Official_account,关注一下你们公众号,公众号,
Official_account,有公众号没,公众号,
how_operate,操作流程是什么,操作流程/怎么操作,
how_operate,怎么操作,操作流程/怎么操作,
how_operate,操作步骤,操作流程/怎么操作,
how_operate,我先操作什么,操作流程/怎么操作,
how_operate,咋操作,操作流程/怎么操作,
how_operate,咋弄,操作流程/怎么操作,
how_operate,怎么搞啊,操作流程/怎么操作,
how_operate,步骤是什么,操作流程/怎么操作,
how_operate,第一步干嘛,操作流程/怎么操作,
how_operate,流程是啥,操作流程/怎么操作,
how_operate,流程复不复杂,操作流程/怎么操作,
how_operate,步骤复不复杂,操作流程/怎么操作,
how_operate,步骤太复杂了,操作流程/怎么操作,
how_operate,操作太复杂了,操作流程/怎么操作,
how_operate,操作太麻烦了,操作流程/怎么操作,
how_operate,流程步骤,操作流程/怎么操作,
how_operate,什么流程,操作流程/怎么操作,
how_operate,什么步骤,操作流程/怎么操作,
how_operate,什么操作,操作流程/怎么操作,
how_operate,怎么点,操作流程/怎么操作,
how_operate,咋买,操作流程/怎么操作,
Customer_service_name,你的名字叫什么,客服名字,
Customer_service_name,你叫什么名字,客服名字,
Customer_service_name,妹妹你叫什么,客服名字,
Customer_service_name,弟弟叫什么,客服名字,
Customer_service_name,妹妹叫什么,客服名字,
Customer_service_name,怎么称呼,客服名字,
Customer_service_name,姐姐叫什么,客服名字,
Customer_service_name,哥哥叫什么,客服名字,
Customer_service_name,帅哥叫什么,客服名字,
Customer_service_name,帅哥怎么称呼,客服名字,
question_flagged,标记诈骗电话,质疑被标记,
question_flagged,显示诈骗电话,质疑被标记,
question_flagged,好几十标记,质疑被标记,
question_flagged,好几百标记,质疑被标记,
question_flagged,好几千标记,质疑被标记,
question_flagged,好几万标记,质疑被标记,
question_flagged,好多标记,质疑被标记,
question_flagged,好几百诈骗,质疑被标记,
question_flagged,好多诈骗,质疑被标记,
Question_professionalism,你专不专业,质疑专业度,
Question_professionalism,你不专业,质疑专业度,
Question_professionalism,你懂不懂啊,质疑专业度,
Question_professionalism,你是不是新来的,质疑专业度,
Question_professionalism,新来的吧,质疑专业度,
Question_professionalism,你刚来的,质疑专业度,
Question_professionalism,换一个专业的,质疑专业度,
Question_professionalism,叫你们经理来,质疑专业度,
no_impression,我不记得了,没印象,
no_impression,没有印象了,没印象,
no_impression,没有了解过,没印象,
no_impression,没接触过,没印象,
no_impression,我不知道你们,没印象,
no_impression,想不起来了,没印象,
complaint,举报你们,投诉,
complaint,举报你,投诉,
complaint,公安局举报,投诉,
complaint,起诉你们,投诉,
complaint,律师告你们,投诉,
complaint,打110,投诉,
complaint,报警了,投诉,
complaint,上法院告你,投诉,
complaint,举报你们产品,投诉,
complaint,举报诈骗,投诉,
complaint,投诉诈骗,投诉,
after_sale_issues,有问题怎么处理,售后问题,
after_sale_issues,售后服务,售后问题,
after_sale_issues,有问题怎么联系,售后问题,
after_sale_issues,售后问题,售后问题,
after_sale_issues,有售后服务没,售后问题,
after_sale_issues,有专属客服吗,售后问题,
peer,我就是干这个的,同行,
peer,我就做电商,同行,
peer,我就做游戏,同行,
peer,我也做这个,同行,
peer,我就卖游戏,同行,
peer,我就卖货,同行,
peer,我就放贷款,同行,
peer,咱俩干的一样,同行,
phone_malfunction,我的手机坏了,手机故障,
phone_malfunction,手机屏有问题,手机故障,
phone_malfunction,手机点不了,手机故障,
phone_malfunction,老年机不能用,手机故障,
phone_malfunction,手机摔坏了,手机故障,
phone_malfunction,手机坏了,手机故障,
phone_malfunction,手机有问题,手机故障,
phone_malfunction,手机点不动,手机故障,
phone_malfunction,手机故障,手机故障,
operate_fail,我买了，失败了,操作失败,
operate_fail,操作失败,操作失败,
operate_fail,操作不成功,操作失败,
operate_fail,下单失败,操作失败,
operate_fail,买不了,操作失败,
operate_fail,不让买,操作失败,
operate_fail,老是失败,操作失败,
operate_fail,操作有问题,操作失败,
operate_fail,操作就报错,操作失败,
operate_fail,操作就错,操作失败,
no_receive_message,收不到短信,没收到短信,
no_receive_message,你发短信了吗,没收到短信,
no_receive_message,我怎么看不到短信,没收到短信,
no_receive_message,一直收不到短信,没收到短信,
no_receive_message,收不到短信怎么办,没收到短信,
no_receive_message,没收到过短信,没收到短信,
no_receive_message,接不了短信,没收到短信,
no_receive_message,短信发不过来,没收到短信,
no_receive_message,短信有问题,没收到短信,
no_receive_message,没收到短信,没收到短信,
no_receive_message,我怎么没有短信,没收到短信,
no_receive_message,短信失败,没收到短信,
no_receive_message,发送失败,没收到短信,
Already_contacted,之前打过,已经联系过,
Already_contacted,已经联系过,已经联系过,
Already_contacted,刚才打过电话,已经联系过,
Already_contacted,昨天打过电话,已经联系过,
Already_contacted,联系过,已经联系过,
Already_contacted,之前联系过,已经联系过,
Already_contacted,你们找过我,已经联系过,
Already_contacted,之前推销过,已经联系过,
Already_contacted,推销过,已经联系过,
Already_contacted,找过我,已经联系过,
why_wechat,加微信干嘛,加微信原因,
why_wechat,加微信有什么好处,加微信原因,
why_wechat,加微有什么用,加微信原因,
why_wechat,不加微信不行吗,加微信原因,
why_wechat,加你有什么好处,加微信原因,
why_wechat,微信不常用,加微信原因,
why_wechat,能不加微信吗,加微信原因,
why_wechat,干嘛加你,加微信原因,
need_consider,我在想想,犹豫，考虑,
need_consider,考虑考虑,犹豫，考虑,
need_consider,暂时用不太到,犹豫，考虑,
need_consider,再想一下,犹豫，考虑,
need_consider,等等在办,犹豫，考虑,
need_consider,现在不太用得到,犹豫，考虑,
ask_have_phone,号码来源,为什么有手机号,
ask_have_phone,哪搞的手机号,为什么有手机号,
ask_have_phone,你怎么知道我的号码,为什么有手机号,
ask_have_phone,谁告诉你的手机号,为什么有手机号,
ask_have_phone,手机号怎么来的,为什么有手机号,
ask_have_phone,手机号咋来的,为什么有手机号,
ask_have_phone,手机号非法来的,为什么有手机号,
ask_have_phone,非法获取的手机号,为什么有手机号,
no_money,买不起,没钱,
no_money,钱太少了,没钱,
no_money,太穷了,没钱,
no_money,钱不够,没钱,
no_money,钱很少的,没钱,
no_money,搞不起,没钱,
no_money,没得钱,没钱,
video_stuttering,卡住了,视频卡顿,
video_stuttering,视频一卡一卡的,视频卡顿,
video_stuttering,怎么画面没有了,视频卡顿,
video_stuttering,怎么黑屏了,视频卡顿,
video_stuttering,视频卡顿,视频卡顿,
video_stuttering,页面卡住,视频卡顿,
video_stuttering,卡死了,视频卡顿,
video_stuttering,看不清你的视频,视频卡顿,
have_bought,买过了,已经购买,
have_bought,已购买,已经购买,
have_bought,已经买了,已经购买,
have_bought,购买过,已经购买,
have_bought,下过单,已经购买,
have_bought,早买了,已经购买,
have_bought,都买好了,已经购买,
high_price,贵死了,价格太贵,
high_price,产品太贵了,价格太贵,
high_price,定价太高,价格太贵,
high_price,不便宜哦,价格太贵,
high_price,能不能便宜点,价格太贵,
high_price,贵的要死,价格太贵,
high_price,便宜点就好了,价格太贵,
high_price,能便宜不,价格太贵,
high_price,便宜一点,价格太贵,
high_price,便宜点,价格太贵,
high_price,打个折,价格太贵,
high_price,能打折不,价格太贵,
high_price,能免费不,价格太贵,
high_price,收费太高,价格太贵,
high_price,价格太高了,价格太贵,
interrupt,等等,打断,
interrupt,先别说了,打断,
interrupt,你听我讲,打断,
interrupt,你别说了,打断,
interrupt,打断一下,打断,
interrupt,打断你一下,打断,
Company_address,公司地址,公司地址,
Company_address,总部在哪,公司地址,
Company_address,有实体店吗,公司地址,
Company_address,公司在哪,公司地址,
Company_address,店在哪,公司地址,
Company_address,怎么去你们公司,公司地址,
Company_address,我要去你们公司,公司地址,
Company_address,你们公司怎么走,公司地址,
refuse,不弄了不弄了,拒绝，否认,
how_operate,我先弄什么,操作流程/怎么操作,
phone_malfunction,老年机搞不了,手机故障,
Already_contacted,找我弄过,已经联系过,
have_bought,早就搞了,已经购买,
no_interest,没兴趣,拒绝，否认,
normal_response,嗯呢,同意，确认,
client_busy,现在忙着,正在忙,
ask_fee,不要钱,询问费用,
ask_fee,升级要钱吗,询问费用,
ask_fee,升级多少钱,询问费用,
ask_fee,升级一下多少钱,询问费用,
ask_fee,升级加钱,询问费用,
insurance_cancel,能不能给我退一下保费,退保费,
insurance_cancel,能不能退钱,退保费,
insurance_cancel,退钱,退保费,
insurance_cancel,我参加过了体验不好，不要了,退保费,
need_consider,暂时没有想法,犹豫，考虑,
no_money,没有钱,没钱,
no_money,没有预算,没钱,
video_stuttering,视频是花的,视频卡顿,
wrong_person,等会就转达给他,不是机主本人,
insurance_settle_claim,如何理赔,如何理赔,
insurance_settle_claim,怎么操作理赔,如何理赔,
insurance_settle_claim,怎么理赔,如何理赔,
insurance_settle_claim,理赔步骤,如何理赔,
insurance_settle_claim,理赔找谁,如何理赔,
insurance_settle_claim,理赔咋搞,如何理赔,
insurance_settle_claim,理赔咋办,如何理赔,
insurance_settle_claim,咋办理赔,如何理赔,
insurance_settle_claim,咋搞理赔,如何理赔,
insurance_settle_claim,出险方式,如何理赔,
insurance_settle_claim,怎么出险,如何理赔,
insurance_settle_claim,出险报案,如何理赔,
insurance_coverage,都能保障什么,保障范围,
insurance_coverage,癌症能保,保障范围,
insurance_coverage,癌症能报,保障范围,
insurance_coverage,感冒能报,保障范围,
insurance_coverage,头疼脑热能报,保障范围,
insurance_coverage,能报感冒,保障范围,
insurance_coverage,能报头疼脑热,保障范围,
insurance_coverage,重大疾病有什么,保障范围,
insurance_coverage,轻症能报,保障范围,
insurance_coverage,小病能报,保障范围,
insurance_coverage,能报小病,保障范围,
insurance_coverage,感冒能保,保障范围,
insurance_coverage,头疼脑热能保,保障范围,
insurance_coverage,能保感冒,保障范围,
insurance_coverage,能保头疼脑热,保障范围,
insurance_coverage,小病有什么,保障范围,
insurance_coverage,轻症能保,保障范围,
insurance_coverage,小病能保,保障范围,
insurance_coverage,能保小病,保障范围,
insurance_coverage,大病有什么,保障范围,
insurance_zgl,你们的代言人是谁,张国立是谁？,
insurance_zgl,张国立是干嘛的,张国立是谁？,
insurance_zgl,张国立,张国立是谁？,
insurance_zgl,张国立也买了吗,张国立是谁？,
insurance_zgl,张国立给你们带货,张国立是谁？,
insurance_zgl,张国立买的什么,张国立是谁？,
insurance_zgl,让张国立接待我,张国立是谁？,
insurance_zgl,让张国立跟我联系,张国立是谁？,
insurance_zgl,张国立是谁,张国立是谁？,
insurance_upgrade_already,已经升级过了,已经升级,
insurance_upgrade_already,点过了,已经升级,
insurance_upgrade_already,买过600万的,已经升级,
insurance_upgrade_already,买过升级保障,已经升级,
insurance_upgrade_already,升级过保障,已经升级,
insurance_upgrade_already,升级好了,已经升级,
insurance_upgrade_already,早就升级了,已经升级,
insurance_upgrade_already,我是老用户了，早就买过了,已经升级,
insurance_upgrade_already,搞过600万,已经升级,
insurance_upgrade_already,弄好了600万,已经升级,
insurance_upgrade_already,现在就是600万,已经升级,
insurance_upgrade_already,已经是600万,已经升级,
insurance_upgrade_already,早就升级好了,已经升级,
insurance_deductible,有没有免赔额,免赔额度,
insurance_deductible,免赔额是多少,免赔额度,
insurance_deductible,多少钱才能报销,免赔额度,
insurance_deductible,花多少才能报销,免赔额度,
insurance_deductible,多少以上报销,免赔额度,
insurance_deductible,0免赔额,免赔额度,
insurance_deductible,都能报销,免赔额度,
insurance_deductible,全部都报销,免赔额度,
insurance_deductible,全部报销,免赔额度,
insurance_deductible,全都赔钱,免赔额度,
insurance_deductible,全能赔,免赔额度,
insurance_ask_fee,首月保费,保费报价,
insurance_ask_fee,保费价格,保费报价,
insurance_ask_fee,次月保费,保费报价,
insurance_ask_fee,保费多少钱,保费报价,
insurance_ask_fee,保费怎么收取,保费报价,
insurance_ask_fee,怎么收取保费,保费报价,
insurance_cancel,退保费,退保费,
insurance_cancel,怎么退保费,退保费,
insurance_cancel,退钱给我,退保费,
insurance_upgrade_required,我要升级,要求升级,
insurance_upgrade_required,怎么升级,要求升级,
insurance_upgrade_required,给我升级,要求升级,
insurance_upgrade_required,升级保单,要求升级,
insurance_upgrade_required,保单升级,要求升级,
insurance_upgrade_required,升级保险,要求升级,
insurance_upgrade_required,保险升级,要求升级,
insurance_upgrade_required,怎么操作升级,要求升级,
insurance_upgrade_required,在哪升级,要求升级,
insurance_upgrade_required,勾选升级了吗,要求升级,
insurance_upgrade_required,没升级吗,要求升级,
insurance_upgrade_required,升级了吧,要求升级,
insurance_upgrade_required,是想升级,要求升级,
insurance_upgrade_required,确认升级,要求升级,
insurance_upgrade_required,我想升级,要求升级,
insurance_benefit_insured,最高可以赔多少钱,赔付保额,
insurance_benefit_insured,能赔多少钱,赔付保额,
insurance_benefit_insured,赔付金额,赔付保额,
insurance_benefit_insured,赔偿金额,赔付保额,
insurance_benefit_insured,报销金额,赔付保额,
insurance_benefit_insured,保额多少,赔付保额,
insurance_benefit_insured,保险额度多少,赔付保额,
insurance_disease_limitation,我有高血压能投保吗,疾病限制,
insurance_disease_limitation,高血压能参加,疾病限制,
insurance_disease_limitation,心脏病能参加,疾病限制,
insurance_disease_limitation,基础病能参加,疾病限制,
insurance_disease_limitation,我身体很不好,疾病限制,
insurance_disease_limitation,有癌症能参加,疾病限制,
insurance_disease_limitation,痛风能参加,疾病限制,
insurance_disease_limitation,恶性肿瘤能参加,疾病限制,
insurance_disease_limitation,心肌梗死能参加,疾病限制,
insurance_disease_limitation,脑溢血能参加,疾病限制,
insurance_disease_limitation,脑中风能参加,疾病限制,
insurance_disease_limitation,疾病限制,疾病限制,
insurance_claim_difficult,买容易，如果真有事你们就不管了,理赔难,
insurance_claim_difficult,理赔方便吗,理赔难,
insurance_claim_difficult,会不会不给赔付,理赔难,
insurance_claim_difficult,理赔流程,如何理赔,231107调整
insurance_claim_difficult,理赔审核多久,理赔难,
insurance_claim_difficult,多久能到账,理赔难,
insurance_claim_difficult,天能到账,理赔难,
insurance_claim_difficult,几天能到账,理赔难,
insurance_whether_renew,理赔过还能续保,会不会拒绝续保,
insurance_whether_renew,续保怎么办理,会不会拒绝续保,
insurance_whether_renew,续保费,会不会拒绝续保,
insurance_whether_renew,续保,会不会拒绝续保,
insurance_whether_renew,保单到期后,会不会拒绝续保,
insurance_whether_renew,拒绝续保,会不会拒绝续保,
insurance_whether_renew,不给续保,会不会拒绝续保,
insurance_whether_renew,不能续保,会不会拒绝续保,
insurance_whether_renew,不能再报,会不会拒绝续保,
insurance_whether_renew,拒绝再保,会不会拒绝续保,
insurance_whether_renew,怎么续保,会不会拒绝续保,
insurance_whether_renew,再次投保,会不会拒绝续保,
insurance_whether_renew,接着投保,会不会拒绝续保,
insurance_whether_renew,接着续保,会不会拒绝续保,
insurance_duration_converage,保障的时间,保障期限,
insurance_duration_converage,保障多久,保障期限,
insurance_duration_converage,能保一年,保障期限,
insurance_duration_converage,能一直保,保障期限,
insurance_duration_converage,永久有效,保障期限,
insurance_duration_converage,一直有效,保障期限,
insurance_duration_converage,不会失效,保障期限,
insurance_duration_converage,保单时效,保障期限,
insurance_duration_converage,保障时效,保障期限,
insurance_duration_converage,可以一直保障,保障期限,
insurance_duration_converage,永久生效,保障期限,
insurance_duration_converage,一直生效,保障期限,
insurance_duration_converage,保障期限,保障期限,
insurance_number_clause,可以理赔几次,理赔次数条款,
insurance_number_clause,多次理赔,理赔次数条款,
insurance_number_clause,理赔好几次,理赔次数条款,
insurance_number_clause,赔过了还能赔,理赔次数条款,
insurance_number_clause,能赔几次,理赔次数条款,
insurance_number_clause,赔付好几次,理赔次数条款,
insurance_number_clause,赔付多少次,理赔次数条款,
insurance_number_clause,重复理赔,理赔次数条款,
insurance_number_clause,反复理赔,理赔次数条款,
insurance_number_clause,能报几次,理赔次数条款,
insurance_number_clause,报销几次,理赔次数条款,
insurance_number_clause,能报多次,理赔次数条款,
insurance_number_clause,报销多次,理赔次数条款,
insurance_when_effect,投保就生效,何时生效,
insurance_when_effect,有没有等待期,何时生效,
insurance_when_effect,当天生效,何时生效,
insurance_when_effect,第二天生效,何时生效,
insurance_when_effect,何时生效,何时生效,
insurance_when_effect,什么时候生效,何时生效,
insurance_when_effect,几天生效,何时生效,
insurance_when_effect,即时生效,何时生效,
insurance_when_effect,几时生效,何时生效,
insurance_when_effect,立马生效,何时生效,
insurance_when_effect,要等很久,何时生效,
insurance_when_effect,很久才生效,何时生效,
insurance_when_effect,等待很久才生效,何时生效,
insurance_buy_to_whom,给我妈买,给谁买买几份,
insurance_buy_to_whom,给爸爸买,给谁买买几份,
insurance_buy_to_whom,给宝宝买,给谁买买几份,
insurance_buy_to_whom,给小孩买,给谁买买几份,
insurance_buy_to_whom,给老公买,给谁买买几份,
insurance_buy_to_whom,给老婆买,给谁买买几份,
insurance_buy_to_whom,给孩子买,给谁买买几份,
insurance_buy_to_whom,给家人买,给谁买买几份,
insurance_buy_to_whom,最多能买,给谁买买几份,
insurance_buy_to_whom,买多少份,给谁买买几份,
insurance_buy_to_whom,最多可以买,给谁买买几份,
insurance_buy_to_whom,可以买几份,给谁买买几份,
insurance_buy_to_whom,买几个人,给谁买买几份,
insurance_buy_to_whom,买几张,给谁买买几份,
